filename,subjectID,date,time,reward,choice,reward2,choice2,rexploit,rexplore,choiceorder,timestamp_BanditOn,timestamp_KeyPress,timestamp_RewardOn,timestamp_ProgressbarFinish,timestamp_UpdateGameFinish,version,horizon
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,54,1,NaN,NaN,54,81,NaN,308735.8534,308737.7188,308738.5247,308741.3132,308742.815,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,38,2,NaN,NaN,54,38,NaN,308742.8625,308743.1106,308743.8807,308746.1699,308747.6689,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,58,2,NaN,NaN,54,58,NaN,308747.7198,308747.9593,308748.7353,308750.7745,308751.9387,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,57,2,NaN,NaN,58,57,NaN,308751.9898,308752.2711,308753.0421,308755.0783,308756.2468,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,13,2,NaN,NaN,58,13,NaN,308756.2971,308756.9589,308757.7312,308759.7513,308760.9186,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,48,2,NaN,NaN,58,48,NaN,308760.9505,308761.287,308762.0531,308764.0725,308765.2387,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,51,2,NaN,NaN,58,51,NaN,308765.2739,308766.5668,308767.307,308769.0426,308770.162,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,80,1,NaN,NaN,80,54,NaN,308772.2132,308773.431,308774.2136,308776.2523,308777.417,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,80,1,NaN,NaN,80,10,NaN,308777.4694,308777.6787,308778.4528,308780.4886,308781.6586,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,80,1,NaN,NaN,80,6,NaN,308781.7077,308781.8226,308782.5928,308784.6105,308785.7785,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,80,1,NaN,NaN,80,84,NaN,308785.8103,308786.1343,308786.8974,308788.9151,308790.0831,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,80,1,NaN,NaN,80,24,NaN,308790.1164,308791.0633,308791.799,308793.4,308794.3202,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,47,2,NaN,NaN,46,47,NaN,308796.422,308797.4953,308798.2728,308800.3256,308801.4954,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,65,2,NaN,NaN,47,65,NaN,308801.5446,308802.0872,308802.863,308804.8994,308806.0675,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,65,1,NaN,NaN,65,69,NaN,308806.1166,308806.543,308807.3177,308809.3387,308810.5066,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,65,1,NaN,NaN,65,52,NaN,308810.5388,308810.9351,308811.7076,308813.6261,308814.7941,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,65,1,NaN,NaN,65,37,NaN,308814.827,308815.6789,308816.4458,308818.094,308819.064,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,8,2,NaN,NaN,33,8,NaN,308821.0822,308821.9029,308822.6691,308824.138,308825.088,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,75,2,NaN,NaN,29,75,NaN,308827.1066,308828.0868,308828.8601,308830.8783,308832.0459,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,75,1,NaN,NaN,75,17,NaN,308832.0791,308832.5346,308833.2972,308835.3168,308836.4848,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,75,1,NaN,NaN,75,25,NaN,308836.517,308837.0953,308837.8528,308839.6207,308840.5855,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,64,1,NaN,NaN,64,90,NaN,308842.6889,308843.8946,308844.6939,308847.4812,308848.9816,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,50,2,NaN,NaN,64,50,NaN,308849.0289,308849.3191,308850.1151,308852.3001,308853.7043,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,26,2,NaN,NaN,64,26,NaN,308853.7544,308854.255,308855.0385,308857.0735,308858.2418,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,14,2,NaN,NaN,64,14,NaN,308858.2913,308858.7746,308859.5433,308861.5789,308862.7478,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,88,2,NaN,NaN,64,88,NaN,308862.7964,308863.3109,308864.0819,308866.1011,308867.2686,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,88,1,NaN,NaN,88,67,NaN,308867.3018,308868.1826,308868.9536,308870.9725,308872.1401,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,88,1,NaN,NaN,88,27,NaN,308872.1733,308874.3752,308875.1445,308876.8112,308877.7801,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,66,1,NaN,NaN,66,1,NaN,308879.8478,308880.8149,308881.5839,308883.6049,308884.7723,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,66,1,NaN,NaN,66,14,NaN,308884.9376,308885.4228,308886.1891,308888.087,308889.26,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,66,1,NaN,NaN,66,32,NaN,308889.2934,308889.7185,308890.478,308892.0763,308892.9796,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,63,2,NaN,NaN,42,63,NaN,308895.0488,308895.9986,308896.768,308898.8028,308899.9707,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,63,1,NaN,NaN,63,17,NaN,308900.021,308900.3911,308901.1721,308903.2086,308904.3755,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,63,1,NaN,NaN,63,79,NaN,308904.406,308904.6472,308905.4095,308907.4297,308908.5978,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,73,2,NaN,NaN,63,73,NaN,308908.6305,308909.0151,308909.7826,308911.3969,308912.4811,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,73,1,NaN,NaN,73,65,NaN,308912.5139,308912.8951,308913.653,308915.0171,308915.8517,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,84,2,NaN,NaN,15,84,NaN,308917.9385,308919.0227,308919.8242,308922.6107,308924.079,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,84,1,NaN,NaN,84,86,NaN,308924.1279,308924.3191,308925.1157,308927.7017,308929.1201,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,84,1,NaN,NaN,84,37,NaN,308929.1697,308929.7351,308930.506,308932.5574,308933.7253,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,84,1,NaN,NaN,84,70,NaN,308933.7743,308934.2148,308934.9935,308937.0295,308938.1977,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,84,1,NaN,NaN,84,84,NaN,308938.2474,308938.3033,308939.0803,308941.0999,308942.2681,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,84,1,NaN,NaN,84,95,NaN,308942.3178,308942.4872,308943.2511,308945.2709,308946.439,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,84,1,NaN,NaN,84,84,NaN,308946.472,308947.095,308947.8575,308949.7092,308950.6396,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,75,1,NaN,NaN,75,77,NaN,308952.7618,308953.6546,308954.4148,308956.183,308957.2677,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,90,1,NaN,NaN,90,73,NaN,308959.3018,308960.183,308960.9559,308962.99,308964.1749,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,90,1,NaN,NaN,90,71,NaN,308979.7924,308982.0228,308982.7955,308984.8484,308986.0151,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,90,1,NaN,NaN,90,91,NaN,308986.0463,308987.4711,308988.2357,308990.2547,308991.419,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,90,1,NaN,NaN,90,100,NaN,308991.4543,308992.0146,308992.7722,308994.7923,308995.7898,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,90,1,NaN,NaN,90,94,NaN,308995.8268,308996.4548,308997.2101,308998.6964,308999.6437,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,91,1,NaN,NaN,91,74,NaN,309001.6992,309002.6231,309003.4157,309006.2046,309007.7066,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,91,1,NaN,NaN,91,91,NaN,309007.7726,309008.3833,309009.1759,309011.6938,309013.0775,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,91,1,NaN,NaN,91,14,NaN,309013.1283,309013.7347,309014.5131,309016.5472,309017.7177,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,91,1,NaN,NaN,91,48,NaN,309017.7687,309018.4233,309019.2016,309021.2354,309022.4038,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,91,1,NaN,NaN,91,60,NaN,309022.4399,309022.6951,309023.4568,309025.4759,309026.6437,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,91,1,NaN,NaN,91,50,NaN,309026.6768,309028.1672,309028.9304,309030.8488,309032.0162,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,91,1,NaN,NaN,91,67,NaN,309032.0495,309032.751,309033.5188,309035.1207,309036.1216,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,76,2,NaN,NaN,35,76,NaN,309038.1724,309039.1352,309039.9409,309042.7287,309044.2305,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,76,1,NaN,NaN,76,98,NaN,309044.2768,309044.6944,309045.4968,309047.9507,309049.3856,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,76,1,NaN,NaN,76,68,NaN,309049.4354,309049.6308,309050.4007,309052.4361,309053.6071,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,76,1,NaN,NaN,76,73,NaN,309053.6571,309054.1991,309054.9761,309057.0109,309058.1794,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,76,1,NaN,NaN,76,30,NaN,309058.2298,309059.0951,309059.8641,309061.8835,309063.0519,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,76,1,NaN,NaN,76,99,NaN,309063.0847,309063.4473,309064.2199,309066.1881,309067.3559,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,76,1,NaN,NaN,76,41,NaN,309067.4723,309068.0952,309068.8375,309070.376,309071.3932,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,73,1,NaN,NaN,73,48,NaN,309073.4452,309074.2466,309075.0117,309077.0505,309078.2148,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,73,1,NaN,NaN,73,26,NaN,309078.2668,309078.9749,309079.753,309081.7875,309082.9542,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,73,1,NaN,NaN,73,14,NaN,309082.9882,309083.7353,309084.507,309086.5271,309087.6955,solo,
